IST Time,US Time (EST),Session,Speaker,Topic
17:00 – 17:30,06:30 AM – 07:00 AM,Inaugural Ceremony,"sis Gayatri (Newyork, USA)",Values-based Vision & Purpose
17:30 – 17:55,07:00 AM – 07:25 AM,Keynote Address 1,Dr Andrise Bass (USA),Rediscovering Core Goodness – Global Perspective
17:55 – 18:20,07:25 AM – 07:50 AM,Keynote Address 2,Brother Charlie Hogg,Awareness – Who Am I Beyond Roles?
18:20 – 18:35,07:50 AM – 08:05 AM,Break,—,—
18:35 – 19:40,08:05 AM – 09:10 AM,Panel Discussion: Awareness in Action,"Steve Chiu, NurVidha, Mugahed Alameri, Bianca, Dr. Murali",Collaborative Discussion on Awareness
19:40 – 20:15,09:10 AM – 09:45 AM,Interactive Workshop,Kevin,Strengthening Awareness
20:15 – 20:45,09:45 AM – 10:15 AM,Youth Reflection Circles,Ruby Gullien,Reflections and Inner Exploration
20:45 – 20:55,10:15 AM – 10:25 AM,Transformative Silence Session,miss. Ayako (Japan),Guided Silence & Meditation
20:55 – 21:00,10:25 AM – 10:30 AM,Day Closing,sis Gayatri / interACT Team,Summary & Vote of Thanks
